AT-Nr. / AT-No.,AT-Nr. Selbsttest / AT-No. selftest,Cq 25-30,Cq <25,Cq >30,Gesamt- Sensitvität / total sensitivity,Hersteller / Manufacturer,Ref-Nr./ ID-No.,Testname / Test name,Zielantigen / target antigen
AT899/21,,"0,0%","20,0%","0,0%","8,0%",FAGO MEDIKAL San. Tic. Ltd,FRTFT02,FAMEX® SARS-CoV-2 Ag Rapid Nasopharyngeal Test Kit,N
AT918/21,AT1291/21 / AT1338/21,"26,1%","94,1%","0,0%","44,0%",SGA Mühendislik DAN. EG. Icve DIS.Ltd.STI,SCVC02,V-Chek SARS-CoV-2 Rapid Ag Test Kit (Colloidal Gold),N
AT924/21,,"45,0%","100,0%","10,0%","60,0%",Cesna Biyoteknoloji Arastirma Gelistirme Laboratuvar Sist.,C2104N01,Check Up SARS-CoV-2 Nasal Antigen Rapid Test,N
AT928/21,,"100,0%","100,0%","70,0%","94,0%","Shenzhen CAS-Envision Medical Technology Co., Ltd.",CG201A,SARS-Cov-2 Antigen Rapid Detection Kit,N
AT932/21,,"0,0%","0,0%","0,0%","0,0%","ShanDong ThinkLabor Biotechnology Co. ,Ltd.",n.a.,Coronavirus Ag Schnelltest Kassette (Tupfer),N
AT934/21,,"25,0%","100,0%","0,0%","50,0%","Hangzhou Zheda Dixun Biological Gene Engineering Co., Ltd.",G-C-0104,Bisdeal SARS-CoV-2 Antigen-Schnelltest,N
AT935/21,,"20,0%","100,0%","0,0%","48,0%","Qingdao AIBO Diagnostic CO., Ltd.",n.a.,Novel Coronavirus (COVID-19) Antigen Rapid Test Kit,N
AT941/21,,"95,0%","100,0%","40,0%","86,0%","Sichuan Xincheng Biological Co., Ltd.","T3701W, T3702W, T3706W",SARS-CoV-2 Antigen Assay Kit by Latex Immunochromatography method,N
AT961/21,,"100,0%","100,0%","80,0%","96,0%","Hangzhou Jucheng Medical Products Co., Ltd",n.a.,SARS-CoV-2 Ag Schnelltestkit,N
AT967/21,,"35,0%","100,0%","0,0%","54,0%","Beijing Homa Biological Engineering Co., Ltd.",P2311,COVID-19 Antigen Test Kit,N
AT972/21,,"0,0%","60,0%","0,0%","24,0%","Hangzhou Bioer Technology Co., Ltd.",BSK01S1S,BIOflux SARS-CoV-2 Antigen Test Kit (colloidal gold method),N
AT981/21 (AT574/21),,"95,0%","100,0%","30,0%","84,0%","InTec Products, Inc.",ITP16010-TC25,Rapid SARS-CoV-2 Antigen Test Colloidal Gold (Nasopharyngeal/Nasal specimen),N
AT989/21,,"35,0%","100,0%","0,0%","54,0%",Ningbo Beautiful Life Medical Biotechnology,NBMLRS-XG-S2,Saliva SARS-CoV-2(2019-nCoV) Antigen Test Kit (Nanocarbon Assay),N
AT997/21,,"0,0%","90,0%","0,0%","36,0%","Wuhan HealthCare Biotechnology Co., Ltd.",FP-318,SARS-CoV-2 Antigen Test Kit (Colloidal Gold),N
